Photocatalyst,Contaminants,band_gap,catalyst_mM,pollutant_mM,pH,k_min1
ZnO,Phenoxyacetic acid,3.3,3.686409437,0.098586921,6,0.0499
ZnO,Phenoxyacetic acid,3.3,6.144015729,0.098586921,6,0.0395
ZnO,Phenoxyacetic acid,3.3,3.686409437,0.164311535,6,0.0261
ZnO,Phenoxyacetic acid,3.3,6.144015729,0.164311535,6,0.022
ZnO,Phenoxyacetic acid,3.3,3.686409437,0.098586921,8,0.0632
ZnO,Phenoxyacetic acid,3.3,6.144015729,0.098586921,8,0.0502
ZnO,Phenoxyacetic acid,3.3,3.686409437,0.164311535,8,0.0305
ZnO,Phenoxyacetic acid,3.3,6.144015729,0.164311535,8,0.0324
ZnO,Phenoxyacetic acid,3.3,2.457606291,0.131449228,7,0.0194
ZnO,Phenoxyacetic acid,3.3,7.372818874,0.131449228,7,0.0174
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.065724614,7,0.0762
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.197173842,7,0.0229
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.131449228,5,0.0225
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.131449228,9,0.0375
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.131449228,7,0.0595
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.131449228,7,0.0579
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.131449228,7,0.065
ZnO,Phenoxyacetic acid,3.3,3.686409437,0.098586921,6,0.0594
ZnO,Phenoxyacetic acid,3.3,6.144015729,0.164311535,6,0.0641
ZnO,Phenoxyacetic acid,3.3,4.915212583,0.131449228,7,0.0745
ZnO,4-Nitrophenol,3.3,18.43204719,0.199985623,1,0.0133
ZnO,4-Nitrophenol,3.3,18.43204719,0.199985623,3,0.0171
ZnO,4-Nitrophenol,3.3,18.43204719,0.199985623,5,0.0242
ZnO,4-Nitrophenol,3.3,18.43204719,0.199985623,7,0.0324
ZnO,4-Nitrophenol,3.3,18.43204719,0.199985623,9,0.0389
ZnO,Crystal violet,3.3,4.915212583,0.024511005,9,0.079
ZnO,Basic Blue-41,3.3,4.915212583,0.020722382,9,0.1
ZnO,Methyl red,3.3,4.915212583,0.037133309,9,0.014
ZnO,Triclocarban,3.3,12.28803146,0.000367156,7,0.023
ZnO,Ciprofloxacin,3.3,0.245760629,0.015092062,4,0.0117
ZnO,Ciprofloxacin,3.3,0.245760629,0.015092062,7,0.0048
ZnO,Ciprofloxacin,3.3,0.245760629,0.015092062,10,0.0043
ZnO,Carbamazepine,3.3,0.614401573,0.004232446,7,0.0152
ZnO,Diclofenac sodium,3.3,0.614401573,0.003143666,7,0.0574
ZnO,Phenol,3.3,6.144015729,0.106258634,5.2,0.0464
ZnO,Phenol,3.3,12.28803146,0.106258634,5.2,0.0526
ZnO,Phenol,3.3,18.43204719,0.106258634,5.2,0.059
ZnO,Phenol,3.3,24.57606291,0.106258634,5.2,0.0655
ZnO,Phenol,3.3,30.72007864,0.106258634,5.2,0.0793
ZnO,Phenol,3.3,36.86409437,0.106258634,5.2,0.0653
ZnO,Phenol,3.3,30.72007864,0.106258634,4,0.0695
ZnO,Phenol,3.3,30.72007864,0.106258634,6.8,0.0647
ZnO,Phenol,3.3,30.72007864,0.106258634,7,0.0635
ZnO,Phenol,3.3,30.72007864,0.106258634,9,0.0443
ZnO,Phenol,3.3,30.72007864,0.106258634,11,0.0139
ZnO,Phenol,3.3,30.72007864,0.212517267,5.2,0.0499
ZnO,Phenol,3.3,30.72007864,0.425034534,5.2,0.0323
ZnO,Phenol,3.3,30.72007864,0.850069068,5.2,0.0228
ZnO,Resorcinol,3.3,6.144015729,0.090818273,6.8,0.0662
ZnO,Resorcinol,3.3,12.28803146,0.090818273,6.8,0.0748
